n,b,s,camino compresibilidad,camino virial,presion
20,1510.01,0.1,1.360852775,1.339905052,46.47956829
40,1510.01,0.1,4.280881471,3.844760287,243.7099251
60,1510.01,0.1,9.701539755,8.015341869,704.7407554
80,1510.01,0.1,17.23624181,14.26338212,1583.541897
100,1510.01,0.1,25.082473,21.73268439,3019.095171
120,1510.01,0.1,32.73924014,29.68213265,5073.202806
20,1510.01,0.15,1.357139102,1.344260084,46.56542986
40,1510.01,0.15,4.219963251,3.884139365,245.1965805
60,1510.01,0.15,9.326424615,8.124434106,712.2104864
80,1510.01,0.15,16.22062872,14.28598399,1597.685812
100,1510.01,0.15,23.56816459,21.62556451,3029.229097
120,1510.01,0.15,30.93690415,29.49573,5071.869397
20,1510.01,0.2,1.353490232,1.339232415,46.65080295
40,1510.01,0.2,4.164016752,3.917938768,246.5783156
60,1510.01,0.2,9.025173942,8.207802364,718.3089704
80,1510.01,0.2,15.48384358,14.30939336,1608.100103
100,1510.01,0.2,22.48891772,21.54456469,3036.724074
120,1510.01,0.2,29.65236746,29.40251474,5071.381202
20,1510.01,0.25,1.349907957,1.343890231,46.73419118
40,1510.01,0.25,4.112298783,3.935306849,247.8703736
60,1510.01,0.25,8.773508258,8.252205252,723.4879941
80,1510.01,0.25,14.90647269,14.31253169,1616.41739
100,1510.01,0.25,21.65168454,21.4780567,3042.789091
120,1510.01,0.25,28.65474659,29.31736037,5071.381523
20,1510.01,0.3,1.346387939,1.348391101,46.81642589
40,1510.01,0.3,4.064225591,3.971342984,249.0838283
60,1510.01,0.3,8.557548612,8.301218855,728.0030126
80,1510.01,0.3,14.43264917,14.30170795,1623.380207
100,1510.01,0.3,20.9689798,21.44422712,3047.949686
120,1510.01,0.3,27.83989999,29.25529957,5071.685366
20,1510.01,0.35,1.342928095,1.352746508,46.8975424
40,1510.01,0.35,4.019324047,4.004515336,250.2292917
60,1510.01,0.35,8.368570878,8.350136188,732.0154554
80,1510.01,0.35,14.03157883,14.31761053,1629.394467
100,1510.01,0.35,20.39357126,21.39458057,3052.48558
120,1510.01,0.35,27.15176983,29.17950051,5072.201556
20,1510.01,0.4,1.339526445,1.356966807,46.97757438
40,1510.01,0.4,3.977210036,4.022918364,251.3146759
60,1510.01,0.4,8.200718628,8.377401336,735.6338588
80,1510.01,0.4,13.6844449,14.32844733,1634.704982
100,1510.01,0.4,19.89702326,21.3724036,3056.558293
120,1510.01,0.4,26.5566991,29.10841824,5072.856433
20,1510.01,0.45,1.336181106,1.361061352,47.05655397
40,1510.01,0.45,3.9375658,4.051252028,252.3465503
60,1510.01,0.45,8.049866946,8.410356329,738.9329277
80,1510.01,0.45,13.37888702,14.31636694,1639.474418
100,1510.01,0.45,19.46087209,21.35353979,3060.270931
120,1510.01,0.45,26.03286366,29.09531624,5073.607542
20,1510.01,0.5,1.332890285,1.370251418,47.13451182
40,1510.01,0.5,3.90012536,4.065267841,253.3304342
60,1510.01,0.5,7.912989458,8.424252358,741.970216
80,1510.01,0.5,13.10635653,14.31985838,1643.809788
100,1510.01,0.5,19.07243787,21.31535027,3063.698739
120,1510.01,0.5,25.56530416,29.04012209,5074.425974
20,1510.01,0.55,1.329652276,1.374752801,47.21147724
40,1510.01,0.55,3.864663749,4.090281531,254.2710131
60,1510.01,0.55,7.787811443,8.461106876,744.7842913
80,1510.01,0.55,12.86068127,14.32058391,1647.791766
100,1510.01,0.55,18.7226486,21.30170708,3066.889297
120,1510.01,0.55,25.14330505,28.99043279,5075.301165
20,1510.01,0.6,1.32646545,1.379071976,47.28747822
40,1510.01,0.6,3.830988929,4.100569896,255.1723018
60,1510.01,0.6,7.672561471,8.480659419,747.4108827
80,1510.01,0.6,12.63726751,14.34070474,1651.477473
100,1510.01,0.6,18.40477501,21.26799968,3069.884115
120,1510.01,0.6,24.75895528,29.00803441,5076.209784
20,1510.01,0.65,1.323326487,1.382051737,47.36329235
40,1510.01,0.65,3.798935617,4.109536457,256.0377695
60,1510.01,0.65,7.565847354,8.496805793,749.8745669
80,1510.01,0.65,12.43259295,14.3380342,1654.915368
100,1510.01,0.65,18.1137002,21.23544765,3072.710415
120,1510.01,0.65,24.40621994,28.96850302,5077.146192
20,1510.01,0.7,1.320237551,1.385731111,47.43740556
40,1510.01,0.7,3.768360501,4.129744465,256.870437
60,1510.01,0.7,7.466550464,8.525805005,752.1947241
80,1510.01,0.7,12.24391291,14.33346766,1658.137146
100,1510.01,0.7,17.84543943,21.24938399,3075.388967
120,1510.01,0.7,24.08041185,28.93124553,5078.097604
20,1510.01,0.75,1.317195338,1.389310981,47.51063361
40,1510.01,0.75,3.7391406,4.149194063,257.6718063
60,1510.01,0.75,7.37375398,8.536835601,754.389438
80,1510.01,0.75,12.06903306,14.35007053,1661.172659
100,1510.01,0.75,17.59682142,21.21894623,3077.94159
120,1510.01,0.75,23.77779216,28.89958003,5079.068227
20,1510.01,0.8,1.314198494,1.392795999,47.58300002
40,1510.01,0.8,3.711162024,4.154417608,258.4463746
60,1510.01,0.8,7.286699618,8.54579138,756.473964
80,1510.01,0.8,11.90617924,14.34291478,1664.044678
100,1510.01,0.8,17.36529618,21.21256777,3080.379267
120,1510.01,0.8,23.49536736,28.92950742,5080.043691
20,1510.01,0.85,1.311245723,1.39619198,47.65452722
40,1510.01,0.85,3.684329715,4.171601069,259.1951778
60,1510.01,0.85,7.204759268,8.55302823,758.4574543
80,1510.01,0.85,11.75389513,14.33509154,1666.771936
100,1510.01,0.85,17.14876912,21.2066755,3082.716032
120,1510.01,0.85,23.23066383,28.84467867,5081.030104
20,1510.01,0.9,1.308335786,1.399504247,47.72523675
40,1510.01,0.9,3.658559789,4.18871322,259.9187835
60,1510.01,0.9,7.127396547,8.574887276,760.3511203
80,1510.01,0.9,11.61097076,14.34860092,1669.370038
100,1510.01,0.9,16.94550382,21.20206212,3084.963808
120,1510.01,0.9,22.98165421,28.87672971,5082.015313
20,1510.01,0.95,1.305467492,1.402737682,47.7951493
40,1510.01,0.95,3.633771293,4.190245834,260.6212285
60,1510.01,0.95,7.054156083,8.578766405,762.1634438
80,1510.01,0.95,11.47639276,14.36136384,1671.850298
100,1510.01,0.95,16.75405237,21.1974165,3087.127546
120,1510.01,0.95,22.74661716,28.80021207,5083.006262
20,1510.01,1,1.302639703,1.405896771,47.86428475
40,1510.01,1,3.609899652,4.221198071,261.3015633
60,1510.01,1,6.984646567,8.598277631,763.9017364
80,1510.01,1,11.34929449,14.35150554,1674.227503
100,1510.01,1,16.57318018,21.17060932,3089.218235
120,1510.01,1,22.52411793,28.83300612,5083.99234
